,Title,Άνδρες,Γυναίκες
0,Διδακτορικό,102,16
1,Μεταπτυχιακό,264,264
2,Πτυχίο Παν/μίου-Πολ/χνείου και ισότιμων σχολών,3256,3943
3,"Πτυχίο ΑΤΕΙ, ΑΣΠΑΙΤΕ και ισότιμων σχολών",1872,1872
4,Πτυχίο ανώτερων επαγγελματικών σχολών,264,102
5,"Πτυχίο μεταδευτεροβάθμιας εκπαίδευσης (ΙΕΚ, Κολέγια κλπ.)",1872,1872
6,"Απολυτήριο Λυκείου (Γενικού,Εκκλησιαστικού κλπ.)",9051,9051
7,Πτυχίο Επαγγελματικού Λυκείου,3256,1872
8,Πτυχίο Επαγγελματικών Σχολών,1872,648
9,Απολυτήριο τριτάξιου Γυμνασίου,6232,5036
10,Απολυτήριο Δημοτικού,9051,9051
11,"Εγκατέλειψε το  Δημοτικό, αλλά γνωρίζει γραφή και ανάγνωση",648,1872
12,Ολοκλήρωσε την προσχολική αγωγή,3256,3256
13,Δεν γνωρίζει γραφή και ανάγνωση,264,648
14,Άτομα γεννηθέντα μετά την 1/1/2005,3943,3256
