,Κλάδος,15-34 (άτομα στην ύστερη εφηβεία και νέοι ενήλικες),35-64 (άτομα στη μέση ηλικία),65 και άνω (άτομα στην τρίτη ηλικία)
0," ΓΕΩΡΓΙΑ, ΔΑΣΟΚΟΜΙΑ ΚΑΙ ΑΛΙΕΙΑ",98,484,2
1, ΟΡΥΧΕΙΑ ΚΑΙ ΛΑΤΟΜΕΙΑ,5,32,2
2, ΜΕΤΑΠΟΙΗΣΗ,2094,4719,32
3," ΠΑΡΟΧΗ ΗΛΕΚΤΡΙΚΟΥ ΡΕΥΜΑΤΟΣ, ΦΥΣΙΚΟΥ ΑΕΡΙΟΥ, ΑΤΜΟΥ ΚΑΙ ΚΛΙΜΑΤΙΣΜΟΥ",98,98,2
4," ΠΑΡΟΧΗ ΝΕΡΟΥ, ΕΠΕΞΕΡΓΑΣΙΑ ΛΥΜΑΤΩΝ, ΔΙΑΧΕΙΡΙΣΗ ΑΠΟΒΛΗΤΩΝ ΚΑΙ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΕΞΥΓΙΑΝΣΗΣ",98,229,2
5,) ΚΑΤΑΣΚΕΥΕΣ,1000,2094,10
6, ΧΟΝΔΡΙΚΟ ΚΑΙ ΛΙΑΝΙΚΟ ΕΜΠΟΡΙΟ - ΕΠΙΣΚΕΥΗ ΜΗΧΑΝΟΚΙΝΗΤΩΝ ΟΧΗΜΑΤΩΝ ΚΑΙ ΜΟΤΟΣΥΚΛΕΤΩΝ,3250,4719,32
7, ΜΕΤΑΦΟΡΑ ΚΑΙ ΑΠΟΘΗΚΕΥΣΗ,484,2094,10
8, ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΥΠΗΡΕΣΙΩΝ ΠΑΡΟΧΗΣ ΚΑΤΑΛΥΜΑΤΟΣ ΚΑΙ ΥΠΗΡΕΣΙΩΝ ΕΣΤΙΑΣΗΣ,1000,2094,10
9, ΕΝΗΜΕΡΩΣΗ ΚΑΙ ΕΠΙΚΟΙΝΩΝΙΑ,229,484,2
10, ΧΡΗΜΑΤΟΠΙΣΤΩΤΙΚΕΣ ΚΑΙ ΑΣΦΑΛΙΣΤΙΚΕΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ,229,484,2
11, ΔΙΑΧΕΙΡΙΣΗ ΑΚΙΝΗΤΗΣ ΠΕΡΙΟΥΣΙΑΣ,32,98,2
12," ΕΠΑΓΓΕΛΜΑΤΙΚΕΣ, ΕΠΙΣΤΗΜΟΝΙΚΕΣ ΚΑΙ ΤΕΧΝΙΚΕΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ",484,1000,5
13, ΔΙΟΙΚΗΤΙΚΕΣ ΚΑΙ ΥΠΟΣΤΗΡΙΚΤΙΚΕΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ,484,1000,5
14, ΔΗΜΟΣΙΑ ΔΙΟΙΚΗΣΗ ΚΑΙ ΑΜΥΝΑ - ΥΠΟΧΡΕΩΤΙΚΗ ΚΟΙΝΩΝΙΚΗ ΑΣΦΑΛΙΣΗ,1000,2094,10
15, ΕΚΠΑΙΔΕΥΣΗ,484,2094,10
16, ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΣΧΕΤΙΚΕΣ ΜΕ ΤΗΝ ΑΝΘΡΩΠΙΝΗ ΥΓΕΙΑ ΚΑΙ ΤΗΝ ΚΟΙΝΩΝΙΚΗ ΜΕΡΙΜΝΑ,1000,2094,5
17," ΤΕΧΝΕΣ, ΔΙΑΣΚΕΔΑΣΗ ΚΑΙ ΨΥΧΑΓΩΓΙΑ",229,484,2
18, ΑΛΛΕΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΠΑΡΟΧΗΣ ΥΠΗΡΕΣΙΩΝ,484,484,10
19," ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΝΟΙΚΟΚΥΡΙΩΝ ΩΣ ΕΡΓΟΔΟΤΩΝ - ΜΗ ΔΙΑΦΟΡΟΠΟΙΗΜΕΝΕΣ ΔΡΑΣΤΗΡΙΟΤΗΤΕΣ ΝΟΙΚΟΚΥΡΙΩΝ, ΠΟΥ ΑΦΟΡΟΥΝ ΤΗΝ ΠΑΡΑΓΩΓΗ ΑΓΑΘΩΝ - ΚΑΙ ΥΠΗΡΕΣΙΩΝ - ΓΙΑ ΙΔΙΑ ΧΡΗΣΗ",98,484,2
